伪造者最好等着被老子逆袭,1
奇迹 70年第七战的Madison,0
70年代预言洛丹伦的麦迪文,0
现在还没人听我说但你们不要后悔,0
兵临城下你们再呼叫后退,0
Now 王者归来 谁还藏着鬼胎,1
你们肮脏的说唱像螳臂当车悲哀,1
四年前我说我不想上这舞台,0
但现在我回来拿起麦再当个主宰,0
笔尖生火我比以前更堕落,1
畸变成魔洛基以骗人过活,0
即便沉默我起立眼神戳破,0
你的掩饰 我就是迷恋自我,0
这是Loki我来自江南天堂 西湖钱塘,0
横行在滨江骄傲写在脸上,0
Under 180早已走在前方,0
边上是口水军团的巨人肩膀,0
说话不分前后鼻音 混淆平翘舌都已经,0
成为了我独特饶舌无法割舍的一个助力,0
错误的武器 却能够让我无敌,0
每次出鞘********,1
抬手终结Final如同Michael,0
开口就像Rifle却没人拍手,0
我在中国做着九爷的chopping,1
但你们那些讥讽全都把我当成笑柄,0
气愤我一人岂能把你们叫醒,0
押韵不要停是这门技能要领,0
我说过我要夺过霸权剥夺这,0
落魄统治我做的不是佐罗叫我默多克,0
我可以吞噬一切让你变成Jonah,0
如果你们早点觉悟就不会去效仿犹大,0
前世凡人叫我不同名字God Allah Jehovah,0
但你现在还看不出来那**也够瞎,1
我在英灵殿里 等你喊witness me 瓦尔基里,0
死而复生给你 生而又死爬起 你不过是,0
我的魔狼芬里 尔的一口浊气 拿起武器,0
当好那根木桩等我让你魂归故里,0
做个real one like my nigga lil' G,0
没有Dalima也让你能够feel me,0
都说了太多做得太挫快退出游戏,0
曾经我也是个Lost child 现在却是大帝,1
你最好踩个高跷 不然等着趴地,0
收回妖刀进刀鞘,0
越来越多人都喊着药药 但全部都是垃圾,1
采样《教父1》 原声 本曲带有攻击性 切勿断章取义,0
PO8就来当次rapper killer杀光那些垃圾歌单里的 OG 诗人 Dealer 还有 男友,1
一群公鸭嗓子插上 Autotune 让我听了就想 反呕,1
倚老卖老 说唱圈著名的 乞讨代表,1
吊绳 系树顶 当血液都凝固了才 沸腾生命,0
像伟大的 艺术品 进博物馆之前都不 被人尊敬,0
在乌云 密布里 这产业就没几个环节是干净的,0
像你刚刚苟且赚满 钱包,0
就会有人在你背后拿起 镰刀,0
MTFK嘴上跑着火车但是就是没人敢来第一个吃 螃蟹,1
现在看到我们开了专场又来点头哈腰加入这个 行列,0
no way no way 早就知道你们这些 狗腿 so fake,1
本以为鼓点能翻浪 歌词能 惊蛰,0
事实却哑巴在说唱 聋子在 听歌,0
网路上评论家狗眼像 钛金镀膜,1
要治好得 太医复活,0
捧了帮垃圾在圈子里低 菜鸡互啄,1
PO8 PO8 Killin' 的合约下落款是PO8,1
在夜幕掩护下犯下了 七宗罪,0
两三个八拍把Loser给 逼崩溃,1
为了站在垃圾们的身上 远眺,1
为了推广真东西把现场 点爆,0
大不了我专场直接全部 免票,0
Chiggas all trynna be black 这些rapper成天学着黑人,0
Your only ghetto sign might be the poverty 你和匪帮的唯一共同点就是贫穷和混乱,0
Real Gs all fight til their death 那些正真的g为了走出贫穷不惜献出自己的生命,0
You xx under xx xxx 而你只是个盲目效仿的软蛋 我们自身的文化教育可没教你这些,1
大多时间我都非常想和你作案,1
以至于你离开双人床也都只睡一半,0
你问我 baby 要不要 在一起试试看,0
我说别把恋爱当生意谈 身体最坦白,0
我说我 大多数 时间都感到孤独,0
你说谁都孤独但自己难免不清楚,0
我想我愿意抱着你一起渡沉浮,0
但我想我或许不能给你一生的幸福,0
你笑着说 我有病 说是自己不小心,0
怕爱上我却爱上我这码事自己太揪心,0
我说我爱你身体 而你却爱我爱你,1
我们各在各的星 我们各有各的病,0
我热衷让自己失重待在云雾里,0
我贪婪夜晚不愿活在阳光景色里,0
我尝试把我的病态都写到我的歌里,0
或许也或许有人会离开有人会响应,0
骄傲的女人 卑微的男人 都是普通人,0
自负的女人 成熟的男人 难免扮神棍,1
自作聪明的男人女人演着布偶戏,0
也说长不长 久不久 关于喜新厌旧,0
如果不念旧 烂情歌怎会如此这般顺口,0
所有人都独一无二也不一定都是命,0
我们各在各的星 我们各有各的病,0
我对着你耳朵喘气 代表我爱你,0
手指画圈在你背脊 代表我爱你,0
把你每寸皮肤舔一遍 代表我爱你,1
对你这般爱不释手难道你还要怀疑,0
我想霸占你的身体 代表我爱你,1
轻轻拍你示意翻个面 代表我爱你,0
给你千遍也不厌倦 我想我是很爱你,0
我把灵魂写进歌里 而把你含在嘴里,1
