沧海桑田 你早已不在我的身边,,,,,,,,,,,,,0
所以挥毫提笔 留你在字里行间,,,,,,,,,,,,,0
只怪我狂荡惯 被花曲长牵绊,,,,,,,,,,,,,0
所以你收回那句奴愿与君常相伴,,,,,,,,,,,,,0
浪子回头金不换 可回眸望你却不见,,,,,,,,,,,,,0
我剪不断 我理还乱 这姻缘随风飞散,,,,,,,,,,,,,0
落两行相思泪 任它流入酒杯,,,,,,,,,,,,,0
人悲人醉 醉罢又醉 惘然心碎,,,,,,,,,,,,,0
经沧海难为水 那红线化为灰,,,,,,,,,,,,,0
比翼双宿如今又怎得劳燕分飞,,,,,,,,,,,,,0
秋水伊人风萧瑟 人面迷离桃花落,,,,,,,,,,,,,0
那天你离我而去到底是我们谁的错,,,,,,,,,,,,,0
愿江水倒流 轮回到相识那一刻,,,,,,,,,,,,,0
不为重结此缘 只求你我擦肩过,,,,,,,,,,,,,0
无可奈何花落去 落花有情水无意,,,,,,,,,,,,,0
怪自己往事重提又何必 且让它随风去,,,,,,,,,,,,,0
不是我刻意回避是回忆太过清晰,,,,,,,,,,,,,0
当结局变成悲剧就假装漫不经心,,,,,,,,,,,,,0
明明想当做看戏 偏偏又太过入戏,,,,,,,,,,,,,0
倒播的电影播着李香君和侯方域,,,,,,,,,,,,,0
不是我没有骨气 我已经闭起眼睛,,,,,,,,,,,,,0
泪水竟倒影 仍逼我一幕幕地看清,,,,,,,,,,,,,0
心如刀割的如今看曾经的两情相依,,,,,,,,,,,,,0
剧中的男女怎会爱的如此刻骨铭心,,,,,,,,,,,,,0
此情可待成追忆 惘然如梦都过去,,,,,,,,,,,,,0
回忆中惊醒故事也早已经尘埃落定,,,,,,,,,,,,,0
触景生情是何必 何必说无能为力,,,,,,,,,,,,,0
桃花落去我为你最后一次押韵,,,,,,,,,,,,,0
不是无缘为何它缘起缘又灭,,,,,,,,,,,,,0
不是无份又怎奈何阴晴圆月 的月,,,,,,,,,,,,,0
桃花一扇错在我一世苦苦的贪恋,,,,,,,,,,,,,0
暗涌流年怪只怪你爱得太刚烈,,,,,,,,,,,,,0
无可奈何花落去 落花有情水无意,,,,,,,,,,,,,0
怪自己往事重提又何必 且让它随风去,,,,,,,,,,,,,0
啪支轩尼斯当饭前菜,,,,,,,,,,,,,0
上天给予每个人的生活条件好坏不一,,,,,,,,,,,,,0
每个人的生命放在人类历史长河中看来都是一瞬间,,,,,,,,,,,,,0
可是伟大的人物们仍然活在人们心间,,,,,,,,,,,,,0
用自己血肉之躯护住未来的希望,,,,,,,,,,,,,0
一刹那与亲爱的人阴阳相隔,,,,,,,,,,,,,0
同一个血脉创造着奇迹,,,,,,,,,,,,,0
