我爱你,50
我眼里都是你,36
每天去7 11,32
你要哦改咯,30
有谁能够像我一样,30
他们都想象我这么做,25
所有我的哥们儿都在这儿,24
正二八百,24
我的梦我的梦我的梦想,24
她是我的菜,23
你可以不喜欢 但我必须唱,20
一起来 on my way,18
没有人能代替你,18
永远都20岁,18
我就是帅,17
就一直堵起,17
他要be a better man,16
圣诞快乐吧 baby,16
baby 我要你 want it want it want want want want it want it,16
就让我们去追,16
他听得到,16
Double 的 double 的 double 的 oh,16
给我 给我 给我 一点爱,16
给我一点爱,16
年轻的亿万少年,16
咋个都能闯到起,16
Everyday 有多少问题要去面对,16
Life's a struggle 日子还要过,16
尴尬 尴尬 尴尬 尴尬,16
穿我的穿我的新衣,16
九眼桥 YEAH YEAH,16
秋裤,16
你咋勒嘛 咋勒嘛,16
有多少夜 痛苦烦恼着你无法入睡…,16
带着梦想飞,16
不能半途 而废,16
棉毛衫棉毛衫棉毛衫,16
桌球棋牌 Every day,16
没有人能代替我,15
我稳紧钱仲要稳埋面你tell me系甘先,15
音乐放大声 我们放风筝 放风筝 放风筝,15
像一个傻逼,15
饶舌歌手应该怎么求生,15
咋个到哪点都闯到你,15
我只想要听你说,14
啦啦啦啦啦啦啦 出来玩~,14
我应该要怎么下手,14
Baby 我的眼里都是 心里都是 全部都是你,14
让你目空一切 oh no,14
感谢支持中国原创,14
我就是韬韬真爱粉,14
后来 终于在眼泪中明白,14
背靠背,14
必须功成名就,14
老子明天不上班,14
我是你的世界,14
私人订制可联系wx,14
感谢购买10K Beats,14
老爸老爸,13
没有人better than me,13
万物标价格,13
最后一秒搞定,13
兄弟,13
太 crazy,13
老子就爱呆到成都 就爱 呆到 成都耍,12
等的人都还没来,12
畸形儿来了你们都听着,12
Boom boom 开始骨折,12
点燃这根红双喜一只 mic 一个 beat,12
就这样就这样,12
嘿咿耶,12
绝不倒下下下 请为我祈祷,12
头顶上长了朵菊花,12
长沙CITY 长沙SHOW,12
又从天黑到黎明,12
唱一首baby love you轻轻放在你的耳边,12
而我却不想起床过着没早上的生活,12
给我给我给我给我,12
忘了都在同一个时空,12
叮叮当,12
正二正二八百哩呀,12
不小心忘了感动,12
孤独分量太过于沉重,12
偶尔还会在朋友圈做活动,12
给我一个吻,12
回到上海1939,12
温暖的阳光照进被窝的我,12
我是一个小赤佬,12
从小就吊 从小就吊,12
把冰冷空气温暖包裹在你身边,12
要把所有现金塞进我的兜,12
只是因为思念它太凶,12
切踢坝坝球 走 走 走,12
长沙C-BLOCK 长沙FLOW,12
让我为你为你疯狂打个call yayaya~,12
啷儿啊啷啷啷儿啊啷,12
至少保证活着才有可能,12
脑袋上挂了个拖把,12
并没想的那么坏,12
然后静静地坐着,12
荣华富贵*3 我祝你全家都荣华富贵,12
KFC让我过瘾,12
请你把钱塞进我的名牌包,12
不会被杀杀杀  请为我祈祷,12
Lets Fla ah ah ah-ah ah ah ah ah 让我们一起飞吧,12
阳光在普照,12
准备行凶 必须行凶,12
买断独家四位数好处多,12
伴奏名前标*已售独家,12
想要你 ayyy hooo,12
一个年轻的男孩带着他的梦,12
炸了 炸了 炸了你们,12
比去年又大一岁,12
租借伴奏三位数很便宜,12
黐胶花,12
红眼病 红 红,12
法网恢恢疏而不漏,12
听我的音乐 请你跟到甩脑壳,12
这冰冷的冬雨我冰冷的身体,12
黑暗在褪去,12
我要玩最大大大 玩最大大,12
请你打给我,12
一丿? Yat pit,12
跟你倒 你都没要叫,12
你不懂我 你不懂我,12
我的梦我的梦,12
就让我陪在你身边,12
从不乏味,11
就在天亮前出发,11
听到啥子风格当你看我张开嘴,11
差一分 One Hunnid,11
你不需要再听,11
什么都想要拥有,11
啦啦啦....装神仙,10
不过就争一亩三分田,10
我不需要你,10
请侬快点来则freestyle no no no freestyle,10
中国真的有嘻哈又怎么会请吴亦凡,10
后来 我总算学会了如何去爱,10
将最美押韵同步到你灵魂,10
请侬给吾一则free no down no down【不会出局】,10
可惜你早已远去消失在人海,10
独饮一壶酒装神仙,10
Purple Lamborghini 来一口 Purple Drank,10
不得不爱,10
自我的态度 要继续funk,10
我更不想麻烦你,10
我选择你进我退,10
扎得紧 武汉的班子扎得紧,10
天黑黑灰濛濛,10
痛苦的战争没有cast过,10
真的,10
精气神收集同道人的声音,10
背上的tattoo没有flex过,10
我从南门口走到河边头,10
那少年维持着烦恼,10
你的passport迷惑人的cash war,10
变成液态,10
哥们想要赚钱搬到市中心,10
爱 爱 爱 爱 爱 爱,10
此刻的心已再,10
我会继续饶舌不管有没有人听,10
说服我自己祈祷我不在乎,10
黑白的战斗 要继续上,10
有些感觉是说不出口,10
想要赚钱搬到市中心,10
谁人来恨我 来憎我,10
即使几多次难过,10
爱到飞起来爱到飞起来,9
我也想早点结束这种生活,9
